num_C,num_F,num_O,num_P,num_S,num_B,HOMO,LUMO,min_ESP,max_ESP,MPI,R,La,Lb,Lc,MW,TPSA,C,HBA,Binding energy
4,0,2,0,0,0,-0.04127,0.14745,-148.806773,-60.673583,4.44016183,2.98316,6.886,6.339,4.138,85.08,40.1,78,2,1
2,0,2,0,0,0,-0.08987,0.10461,-126.855777,-65.529361,4.19750148,2.98398,6.476,6.002,6.449,162.37,40.1,77.9,2,1
4,0,2,0,0,0,-0.03446,0.15584,-150.661893,-52.936057,4.24127615,3.50714,8.389,5.266,5.002,87.1,40.1,44,2,1
2,0,2,0,1,0,-0.00902,0.18851,-147.016111,-62.990072,4.53459438,2.76176,6.527,5.594,4.888,93.13,59.3,37.4,3,1
3,1,3,0,0,0,-0.05846,0.10688,-138.455564,-60.177036,4.47279727,3.20374,7.741,6.03,4.166,104.05,57.2,92.8,4,1
3,0,2,0,0,0,-0.06724,0.16136,-137.820389,-61.644114,4.47885742,3.24966,7.85,5.567,4.165,84.05,44.5,93.1,3,0
3,0,4,0,1,0,-0.08609,0.16675,-127.967734,-57.245944,4.11930176,3.08976,6.626,6.67,5.98,139.15,85.8,147,4,1
6,0,1,0,0,0,-0.00513,0.16531,-133.619905,-64.191493,4.32328498,3.27098,6.7,7.977,3.04,93.1,23.1,46.1,1,0
4,0,3,0,0,0,-0.04752,0.15443,-145.856762,-35.12007,4.18158242,3.32838,7.844,6.012,5.333,105.09,60.4,63.8,3,1
4,0,3,0,0,0,-0.0445,0.13027,-139.404215,-52.634715,4.27542039,3.35872,8.039,5.99,5.003,101.08,57.2,89.6,3,1
3,0,6,1,0,0,-0.09667,0.07462,-125.691992,-12.734018,3.92417404,3.63916,8.752,6.751,5.411,167.03,107,199,6,1
5,0,3,0,0,0,-0.05194,0.10805,-142.838276,-50.877952,4.02439377,3.51862,8.475,6.479,5.572,122.15,57.2,109,3,1
6,0,2,0,0,0,-0.06214,0.09894,-141.194227,-43.832713,4.03328364,3.59242,8.644,6.636,2.721,122.1,53,108,3,1
2,0,4,0,1,0,-0.08301,0.15468,-129.192903,-46.919456,4.23419201,3.48582,8.234,5.036,5.519,125.13,74.8,104,4,1
7,0,2,0,0,0,-0.05392,0.11395,-144.245516,-44.624414,4.00193361,3.61128,8.702,6.695,2.401,121.11,40.1,98,2,1
7,0,3,0,0,0,-0.04584,0.11311,-146.339939,-21.3691,3.94890544,3.65556,8.799,7.724,3.431,137.11,60.4,127,3,1
4,0,5,0,0,0,-0.08571,0.12977,-127.776037,-58.386551,3.96684937,3.60308,8.501,5.828,5.338,133.08,97.7,123,5,1
4,0,6,0,0,0,-0.10703,0.12908,-120.695604,-56.472389,3.93294176,3.63178,8.639,6.28,5.335,149.08,118,146,6,1
2,0,1,0,1,0,-0.00743,0.18206,-143.751043,-70.292608,4.7004747,2.76094,5.688,6.622,4.157,75.11,18.1,33,2,1
5,0,2,0,0,0,-0.04175,0.16556,-147.904126,-62.664016,4.13901658,2.97824,6.496,6.674,6.131,101.12,40.1,73.1,2,1
6,0,2,0,1,0,0.01095,0.13107,-116.637653,-53.539537,3.91490838,3.76216,6.722,9.032,3.6,141.17,59.3,102,3,1
6,0,2,0,0,0,-0.04672,0.09489,-146.995471,-38.612378,3.77938843,4.39192,10.598,5.539,4.159,111.12,40.1,117,2,1
7,0,3,0,1,0,-0.0925,0.08693,-124.14083,-35.207852,3.43832524,4.72156,11.466,6.942,5.282,186.21,77.6,200,4,1
4,0,4,0,0,0,-0.10006,0.06499,-131.523888,-22.072075,3.79726329,3.56044,7.591,8.552,3.04,156.08,111,263,4,1
6,0,3,0,1,0,-0.08235,0.10097,-128.992688,-38.984983,3.87058784,3.67524,8.793,6.694,5.195,157.17,65.6,170,3,1
2,0,3,0,2,0,-0.08121,0.11729,-128.983073,-37.479584,3.98067648,3.71132,8.639,4.776,5.533,141.19,66.6,105,4,1
7,0,4,0,1,0,-0.10088,0.04499,-121.252882,-35.189838,3.66516455,3.67688,8.93,8.795,5.528,185.18,82.6,238,4,1
6,0,3,0,0,0,-0.05921,0.06791,-113.817636,-61.013797,3.89698871,3.8048,9.185,6.714,3.04,138.1,68.9,123,3,1
4,0,0,0,1,0,0.02691,0.14568,-135.320426,-46.438276,4.00446997,3.8335,4.819,9.34,4.163,89.18,1,13.1,1,0
4,0,3,0,0,0,-0.03767,0.12328,-149.686766,-15.401428,4.10205553,3.92124,5.383,9.543,4.175,105.09,60.4,54.4,3,1
7,0,3,0,0,0,-0.0533,0.1164,-144.516367,-9.080896,3.87665359,3.93764,9.31,6.683,2.721,137.11,60.4,119,3,1
7,0,2,0,0,0,-0.04941,0.11698,-146.083906,-22.291548,3.82666367,3.99012,9.441,6.69,3.194,136.13,66.2,122,3,1
6,0,7,0,0,0,-0.08665,0.13823,-130.086476,-28.691599,3.59799341,3.91796,9.306,8.541,5.198,193.13,130,200,7,1
6,0,4,0,1,0,-0.0814,0.09894,-129.286995,-3.190489,3.75561151,4.0016,9.408,6.683,5.298,173.17,85.8,194,4,1
0,0,0,0,0,0,0.10579,0.26589,-171.075763,-114.21407,6.42863068,1.62934,3.1,3.974,3.441,16.023,1,0,1,1
2,0,0,0,0,0,-0.01429,0.24939,-147.963994,-78.286452,5.71703553,2.13692,3.4,3.4,5.212,26.04,0,8,1,1
0,0,3,1,0,0,-0.07166,0.17365,-131.051668,-81.796824,5.18979991,2.31158,3.6,5.638,5.29,78.972,57.2,36.5,3,0
1,0,0,0,0,1,-0.09509,0.20885,-122.5107,-102.583662,4.99622534,2.50428,4.136,5.901,4.405,42.87,23.8,31.3,2,0
1,3,0,0,0,1,-0.09982,0.19841,-135.302289,-81.235046,4.92357471,2.51658,5.213,5.239,5.013,82.84,0,28.4,4,0
3,0,0,0,0,0,-0.01264,0.23305,-131.25512,-77.219311,4.86464384,2.69288,5.164,6.331,3.1,67.07,13.9,24.1,2,1
1,0,2,0,1,0,-0.00415,0.20448,-148.400678,-71.196063,4.85671314,2.58054,5.506,5.596,4.629,79.1,59.3,27.5,3,1
5,0,0,0,0,0,0.01224,0.22357,-144.948497,-82.433134,4.67972732,2.76914,3.4,6.754,6.541,65.09,0,11.6,1,1
2,2,2,0,0,0,-0.081,0.13345,-133.620034,-70.298392,4.53383006,2.66172,6.521,5.481,5.464,129.47,40.1,86.2,4,1
2,0,3,0,0,0,-0.05077,0.1516,-147.505219,-40.780306,4.72240893,2.9233,6.457,5.727,2.982,88.04,83.2,81.3,3,1
3,0,1,0,0,0,-0.03487,0.16726,-147.101519,-71.062699,4.15642442,2.98562,6.627,6.265,7.281,89.19,23.1,28.4,1,1
1,3,2,0,1,0,-0.04358,0.18447,-135.212074,-83.07814,4.62282279,2.8126,4.795,5.95,5.58,133.07,59.3,79.9,6,1
1,0,2,0,2,0,-0.04405,0.17297,-131.480697,-59.128906,4.46174084,2.87246,6.693,5.51,5.552,111.17,80.6,97.8,3,1
2,0,2,0,1,0,-0.05306,0.15947,-144.255137,-55.43979,4.53373946,3.06926,7.465,5.54,4.173,91.11,41.1,37.4,3,1
1,0,4,0,1,0,-0.08149,0.1875,-129.917507,-54.931778,4.60788722,2.95036,7.179,4.938,5.518,111.1,74.8,90.7,4,1
2,0,3,0,1,0,-0.07325,0.13215,-133.197245,-50.675411,4.51656159,2.97168,7.074,6.007,5.53,107.11,65.6,112,3,1
1,0,4,0,1,0,-0.06769,0.14011,-137.975449,-24.210635,4.62331196,2.95528,7.143,4.989,5.537,111.1,85.8,90.7,4,1
3,5,2,0,0,0,-0.08274,0.17529,-133.336424,-69.512138,4.33935693,3.17176,7.704,5.977,5.145,163.02,40.1,142,7,0
0,0,0,0,0,0,-0.11088,0.10143,-108.903003,-33.508038,3.99143167,3.26524,6.666,6.667,3.5,168.8,0,19.1,1,1
6,0,2,0,1,0,-0.06714,0.10374,-135.433519,-40.101482,3.82822947,3.63424,8.932,6.709,6.043,156.18,72.4,191,3,1
6,0,2,0,1,0,-0.02978,0.09413,-138.049225,-37.724428,3.71953863,4.04834,9.611,6.607,5.331,156.18,72.2,134,4,0
6,0,2,0,1,0,-0.02982,0.09886,-137.908213,-39.479058,3.74697827,3.72854,8.562,7.923,5.441,156.18,72.2,134,4,0
